IdEvaluacion;FechaEvaluacion;IdJugador;IdPosicion;PesoBrutoKg;TallaCorporalCm;TallaSentadoCM;DiametroBiacromial;DiametroToraxTransverso;DiametroToraxAnteroPosterior;DiametroBi-iliocrestideo;DiametroHumeralBiepicondilar;DiametroFemoralBiepicondilar;PerimetroCabeza;PerimetroBrazoRelajado;PerimetroBrazoFlexionadoEnTension;PerimetroAntebrazoMaximo;PerimetroToraxMesoesternal;PerimetroCinturaMinima;PerimetroCaderaMaximo;PerimetroMusloMaximo;PerimetroMusloMedial;PerimetroPantorrillaMaxima;PlieguesTriceps;PlieguesSubescapular;PlieguesSupraespinal;PlieguesAbdominal;PlieguesMusloMedial;PlieguesPantorrilla;Bicipital;Supracrestideo;Sumatoria 6 pliegues;Sumatoria 8 pliegues;MasaPielKg;MasaPielPer;MasaAdiposaKg;MasaAdiposaPer;MasaMuscularKg;MasaMuscularPer;MasaResidualKg;MasaResidualPer;MasaOseaKg;MasaOseaPer;IMO;IAM;ObjetivoGeneral;ObjetivoEspecifico;Comentarios;;
39;11/08/2023;300;18;76.6;178;93.7;41.3;28.5;20.9;26.4;7.5;10.4;56.2;31.3;33.7;27.7;97.4;74.4;99.1;57.9;56.8;37.9;7.6;8.4;8.8;12.8;9;5;;;51.6;;3.98;0.052;16.39;0.214;39.23;0.513;8.01;0.105;8.91;0.117;4.40;0.42;;;;;
40;27/09/2023;300;18;76.4;178;93.7;41.3;28.5;20.9;26.4;7.5;10.4;56.2;30.9;33.4;27.9;98.6;75.4;99.4;58.4;57.6;37.9;7.2;8.2;8.6;11.2;10;5;;;50.2;;3.98;0.052;16.13;0.209;39.82;0.516;8.30;0.108;8.91;0.116;4.47;0.41;;;;;
41;19/10/2023;300;18;75.1;178;93.7;41.3;28.5;20.9;26.4;7.5;10.4;56.2;31.1;33.4;27.6;97.8;73.6;98.1;56.9;56.6;37.7;7.2;9;9.2;13;10.6;5.6;;;54.6;;3.98;0.052;16.94;0.223;38.44;0.505;7.85;0.103;8.91;0.117;4.31;0.44;Disminuir Masa Adiposa;1000;Se debe disminuir el porcentaje de t. adiposo. Obj final -2 Kg;;
42;24/03/2023;309;17;70.1;182.8;96.1;39.9;28.8;22.6;27.1;7.2;9.8;53.8;29.7;33.1;26.2;93.8;74.7;96.4;54;53.6;35.7;5.4;8.2;6;8;6.4;4.2;;;38.2;;3.97;0.057;14.88;0.213;34.55;0.494;8.79;0.126;7.72;0.110;4.47;0.43;;;;;
43;17/05/2023;309;17;69.5;182.8;96.1;39.9;28.8;22.6;27.1;7.2;9.8;53.8;29.2;32.6;25.9;92.6;74.5;95.9;53.2;52.3;35.4;5.4;7.6;5;7.8;6.6;4;;;36.4;;3.97;0.058;14.53;0.213;33.23;0.487;8.76;0.129;7.72;0.113;4.30;0.44;;;;;
44;14/06/2023;309;17;69.5;182.8;96.1;39.9;28.8;22.6;27.1;7.2;9.8;53.8;29.6;32.6;25.9;92.6;75.5;95.9;53.2;52.3;36.4;5.4;7.6;5;7.8;6.6;4;;;36.4;;3.97;0.058;14.53;0.210;33.86;0.490;8.96;0.130;7.72;0.112;4.39;0.43;;;;;
45;19/07/2023;309;17;71.3;182.8;96.1;39.9;28.8;22.6;27.1;7.2;9.8;53.8;29.2;32.8;26.2;92.4;75.9;96.6;54;53.3;35.9;5.6;7.6;6.4;9;6.1;4.4;;;39.1;;3.97;0.057;15.05;0.216;33.85;0.487;8.97;0.129;7.72;0.111;4.38;0.44;Aumentar Masa Muscular;1000;El porcentaje de t. adiposo puede elevarse como consecuencia de una m muscular dimisnuída en relación al peso corporal total;;
46;28/03/2023;303;16;72.3;179.5;93.3;41.3;29.3;20.7;26.8;7.2;10;55.2;28.1;31.9;25.6;95.3;79.1;97.6;55.8;55.6;37.2;6.8;7.2;7.6;7.6;7.2;4;;;40.4;;3.99;0.055;14.63;0.203;35.54;0.494;9.31;0.130;8.46;0.118;4.20;0.41;;;;;
47;19/05/2023;303;16;73.3;179.5;93.3;41.3;29.3;20.7;26.8;7.2;10;55.2;29.1;31.9;25.8;96;77.8;97.8;57.6;56;37.2;7;7;8;9;7.2;4.2;;;42.4;;3.99;0.054;15.00;0.204;37.13;0.505;8.98;0.122;8.46;0.115;4.39;0.40;;;;;
48;9/06/2023;303;16;74.2;179.5;93.3;41.3;29.3;20.7;26.8;7.2;10;55.2;29.3;32.6;25.8;96.4;79.1;97.3;57.6;55.2;37.1;8;7.4;8.2;9.4;7;4;;;44;;3.99;0.054;15.30;0.206;37.21;0.502;9.21;0.124;8.46;0.114;4.40;0.41;;;;;
