IdInscripcion;IdJugador;Tipo;Fecha;IdCT;IdEquipo;IdPosicion;;;;;;;;;;;;;
173;73;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
174;78;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
175;64;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
176;67;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
177;81;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
178;83;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
179;59;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
180;80;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
181;74;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
182;75;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
183;56;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
184;61;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
185;66;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
186;72;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
187;85;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
188;107;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
189;92;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
190;84;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
191;95;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
192;86;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
193;69;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
194;82;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
195;64;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
196;65;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
197;68;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
198;71;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
199;73;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
200;74;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
201;78;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
202;79;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
203;282;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
204;61;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
205;63;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
206;70;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
207;72;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
208;56;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
209;77;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
210;81;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
211;83;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
212;283;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
213;60;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
214;62;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
