IdEstadisticaPartido;IdJugador;IdPartido;IdCT;Condicion;Minutos;Goles;Amarillas;Rojas;;;;;;;;;;;;;;;;
243;316;4;1;No citado;;;;;;;;;;;;;;;;;;;;
244;273;4;1;No citado;;;;;;;;;;;;;;;;;;;;
245;317;4;1;Titular;90;;1;;;;;;;;;;;;;;;;;
246;318;4;1;Suplente ingresa;1;;;;;;;;;;;;;;;;;;;
247;278;4;1;Suplente ingresa;15;;;;;;;;;;;;;;;;;;;
248;279;4;1;No citado;;;;;;;;;;;;;;;;;;;;
249;277;4;1;Titular;49;;;1;;;;;;;;;;;;;;;;
250;320;4;1;Titular;90;;;;;;;;;;;;;;;;;;;
251;275;4;1;No citado;;;;;;;;;;;;;;;;;;;;
252;321;4;1;Titular;68;2;;;;;;;;;;;;;;;;;;
253;21;4;1;No citado;;;;;;;;;;;;;;;;;;;;
254;5;4;1;No citado;;;;;;;;;;;;;;;;;;;;
255;276;4;1;No citado;;;;;;;;;;;;;;;;;;;;
256;323;4;1;No citado;;;;;;;;;;;;;;;;;;;;
257;299;5;1;Titular;90;;1;;;;;;;;;;;;;;;;;
258;300;5;1;No citado;;;;;;;;;;;;;;;;;;;;
259;301;5;1;Citado sin vestir;;;;;;;;;;;;;;;;;;;;
260;302;5;1;Titular;90;;;;;;;;;;;;;;;;;;;
261;303;5;1;Titular;90;;;;;;;;;;;;;;;;;;;
262;304;5;1;Suplente ingresa;70;;;;;;;;;;;;;;;;;;;
263;305;5;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
264;307;5;1;Titular;90;1;;;;;;;;;;;;;;;;;;
265;308;5;1;No citado;;;;;;;;;;;;;;;;;;;;
266;309;5;1;Titular;90;;;;;;;;;;;;;;;;;;;
267;274;5;1;No citado;;;;;;;;;;;;;;;;;;;;
268;310;5;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
269;280;5;1;No citado;;;;;;;;;;;;;;;;;;;;
270;311;5;1;No citado;;;;;;;;;;;;;;;;;;;;
271;312;5;1;Suplente ingresa;45;;;;;;;;;;;;;;;;;;;
272;313;5;1;Titular;90;;;;;;;;;;;;;;;;;;;
273;314;5;1;Suplente ingresa;1;;;;;;;;;;;;;;;;;;;
274;315;5;1;Titular;20;;;;;;;;;;;;;;;;;;;
275;316;5;1;Titular;87;;;;;;;;;;;;;;;;;;;
276;273;5;1;No citado;;;;;;;;;;;;;;;;;;;;
277;317;5;1;Titular;90;;1;;;;;;;;;;;;;;;;;
278;318;5;1;Suplente ingresa;1;;;;;;;;;;;;;;;;;;;
279;278;5;1;Titular;45;;1;;;;;;;;;;;;;;;;;
280;279;5;1;No citado;;;;;;;;;;;;;;;;;;;;
281;277;5;1;No citado;;;;;;;;;;;;;;;;;;;;
282;320;5;1;Titular;90;;;;;;;;;;;;;;;;;;;
283;275;5;1;Citado sin vestir;;;;;;;;;;;;;;;;;;;;
284;321;5;1;No citado;;;;;;;;;;;;;;;;;;;;
285;21;5;1;No citado;;;;;;;;;;;;;;;;;;;;
286;5;5;1;No citado;;;;;;;;;;;;;;;;;;;;
287;276;5;1;No citado;;;;;;;;;;;;;;;;;;;;
288;323;5;1;No citado;;;;;;;;;;;;;;;;;;;;
289;299;6;1;Titular;90;;;;;;;;;;;;;;;;;;;
290;300;6;1;No citado;;;;;;;;;;;;;;;;;;;;
291;301;6;1;Citado sin vestir;;;;;;;;;;;;;;;;;;;;
292;302;6;1;Titular;90;;;;;;;;;;;;;;;;;;;
293;303;6;1;Titular;75;;1;;;;;;;;;;;;;;;;;
294;304;6;1;Titular;45;;1;;;;;;;;;;;;;;;;;
295;305;6;1;Suplente ingresa;15;;1;;;;;;;;;;;;;;;;;
296;307;6;1;Titular;90;1;;;;;;;;;;;;;;;;;;
297;308;6;1;No citado;;;;;;;;;;;;;;;;;;;;
298;309;6;1;Titular;75;;;;;;;;;;;;;;;;;;;
299;274;6;1;No citado;;;;;;;;;;;;;;;;;;;;
300;310;6;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
301;280;6;1;Suplente ingresa;45;;;;;;;;;;;;;;;;;;;
302;311;6;1;No citado;;;;;;;;;;;;;;;;;;;;
303;312;6;1;Titular;85;1;;;;;;;;;;;;;;;;;;
304;313;6;1;Titular;90;;;;;;;;;;;;;;;;;;;
305;314;6;1;Suplente ingresa;;;;;;;;;;;;;;;;;;;;
306;315;6;1;No citado;;;;;;;;;;;;;;;;;;;;
307;316;6;1;Titular;90;1;1;;;;;;;;;;;;;;;;;
308;273;6;1;No citado;;;;;;;;;;;;;;;;;;;;
309;317;6;1;Titular;90;;;;;;;;;;;;;;;;;;;
310;318;6;1;Suplente ingresa;5;;;;;;;;;;;;;;;;;;;
311;278;6;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
312;279;6;1;No citado;;;;;;;;;;;;;;;;;;;;
313;277;6;1;No citado;;;;;;;;;;;;;;;;;;;;
314;320;6;1;Titular;90;;;;;;;;;;;;;;;;;;;
315;275;6;1;No citado;;;;;;;;;;;;;;;;;;;;
316;321;6;1;No citado;;;;;;;;;;;;;;;;;;;;
317;21;6;1;No citado;;;;;;;;;;;;;;;;;;;;
318;5;6;1;No citado;;;;;;;;;;;;;;;;;;;;
319;276;6;1;No citado;;;;;;;;;;;;;;;;;;;;
320;323;6;1;No citado;;;;;;;;;;;;;;;;;;;;
321;299;7;1;Titular;90;;;;;;;;;;;;;;;;;;;
322;300;7;1;No citado;;;;;;;;;;;;;;;;;;;;
323;301;7;1;No citado;;;;;;;;;;;;;;;;;;;;
324;302;7;1;Titular;90;;;;;;;;;;;;;;;;;;;
325;303;7;1;Titular;90;;1;;;;;;;;;;;;;;;;;
326;304;7;1;Titular;90;;;;;;;;;;;;;;;;;;;
327;305;7;1;Suplente ingresa;11;;;;;;;;;;;;;;;;;;;
328;307;7;1;Titular;90;1;1;;;;;;;;;;;;;;;;;
329;308;7;1;No citado;;;;;;;;;;;;;;;;;;;;
330;309;7;1;Titular;79;;;;;;;;;;;;;;;;;;;
331;274;7;1;No citado;;;;;;;;;;;;;;;;;;;;
332;310;7;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
333;280;7;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
334;311;7;1;No citado;;;;;;;;;;;;;;;;;;;;
335;312;7;1;Titular;90;;;;;;;;;;;;;;;;;;;
336;313;7;1;Titular;90;;;;;;;;;;;;;;;;;;;
337;314;7;1;Suplente ingresa;1;;;;;;;;;;;;;;;;;;;
338;315;7;1;No citado;;;;;;;;;;;;;;;;;;;;
339;316;7;1;Titular;90;;1;;;;;;;;;;;;;;;;;
340;273;7;1;No citado;;;;;;;;;;;;;;;;;;;;
341;317;7;1;Titular;90;;;;;;;;;;;;;;;;;;;
342;318;7;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
343;278;7;1;No citado;;;;;;;;;;;;;;;;;;;;
344;279;7;1;No citado;;;;;;;;;;;;;;;;;;;;
345;277;7;1;Suplente ingresa;1;;;;;;;;;;;;;;;;;;;
346;320;7;1;Titular;90;;;;;;;;;;;;;;;;;;;
347;275;7;1;No citado;;;;;;;;;;;;;;;;;;;;
348;321;7;1;No citado;;;;;;;;;;;;;;;;;;;;
349;21;7;1;No citado;;;;;;;;;;;;;;;;;;;;
350;5;7;1;No citado;;;;;;;;;;;;;;;;;;;;
351;276;7;1;No citado;;;;;;;;;;;;;;;;;;;;
352;323;7;1;No citado;;;;;;;;;;;;;;;;;;;;
353;299;8;1;Titular;90;;;;;;;;;;;;;;;;;;;
354;300;8;1;No citado;;;;;;;;;;;;;;;;;;;;
355;301;8;1;No citado;;;;;;;;;;;;;;;;;;;;
356;302;8;1;Titular;76;;;;;;;;;;;;;;;;;;;
357;303;8;1;Titular;90;;1;;;;;;;;;;;;;;;;;
358;304;8;1;Titular;90;;;;;;;;;;;;;;;;;;;
359;305;8;1;Suplente ingresa;1;;;;;;;;;;;;;;;;;;;
360;307;8;1;Titular;89;;;;;;;;;;;;;;;;;;;
361;308;8;1;No citado;;;;;;;;;;;;;;;;;;;;
362;309;8;1;Titular;76;;;;;;;;;;;;;;;;;;;
363;274;8;1;No citado;;;;;;;;;;;;;;;;;;;;
364;310;8;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
365;280;8;1;Suplente ingresa;14;;;;;;;;;;;;;;;;;;;
366;311;8;1;No citado;;;;;;;;;;;;;;;;;;;;
367;312;8;1;Titular;64;;1;;;;;;;;;;;;;;;;;
368;313;8;1;Titular;90;;;;;;;;;;;;;;;;;;;
369;314;8;1;No citado;;;;;;;;;;;;;;;;;;;;
370;315;8;1;No citado;;;;;;;;;;;;;;;;;;;;
371;316;8;1;Titular;90;;;;;;;;;;;;;;;;;;;
372;273;8;1;No citado;;;;;;;;;;;;;;;;;;;;
373;317;8;1;Titular;90;;;;;;;;;;;;;;;;;;;
374;318;8;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
375;278;8;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
376;279;8;1;No citado;;;;;;;;;;;;;;;;;;;;
377;277;8;1;No citado;;;;;;;;;;;;;;;;;;;;
378;320;8;1;Titular;90;;;;;;;;;;;;;;;;;;;
379;275;8;1;No citado;;;;;;;;;;;;;;;;;;;;
380;321;8;1;Suplente ingresa;26;;;;;;;;;;;;;;;;;;;
381;21;8;1;No citado;;;;;;;;;;;;;;;;;;;;
382;5;8;1;No citado;;;;;;;;;;;;;;;;;;;;
383;276;8;1;No citado;;;;;;;;;;;;;;;;;;;;
384;323;8;1;No citado;;;;;;;;;;;;;;;;;;;;
385;299;9;1;Titular;45;;;;;;;;;;;;;;;;;;;
386;300;9;1;No citado;;;;;;;;;;;;;;;;;;;;
387;301;9;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
388;302;9;1;No citado;;;;;;;;;;;;;;;;;;;;
389;303;9;1;No citado;;;;;;;;;;;;;;;;;;;;
390;304;9;1;Titular;79;;;;;;;;;;;;;;;;;;;
391;305;9;1;Suplente ingresa;25;;;;;;;;;;;;;;;;;;;
392;307;9;1;Titular;90;;;;;;;;;;;;;;;;;;;
393;308;9;1;No citado;;;;;;;;;;;;;;;;;;;;
394;309;9;1;Titular;86;;;;;;;;;;;;;;;;;;;
395;274;9;1;No citado;;;;;;;;;;;;;;;;;;;;
396;310;9;1;Suplente ingresa;45;;;;;;;;;;;;;;;;;;;
397;280;9;1;Titular;90;;;;;;;;;;;;;;;;;;;
398;311;9;1;No citado;;;;;;;;;;;;;;;;;;;;
399;312;9;1;Titular;65;;;;;;;;;;;;;;;;;;;
400;313;9;1;Titular;90;;;;;;;;;;;;;;;;;;;
401;314;9;1;No citado;;;;;;;;;;;;;;;;;;;;
402;315;9;1;Suplente ingresa;11;;;;;;;;;;;;;;;;;;;
403;316;9;1;Titular;65;;1;;;;;;;;;;;;;;;;;
404;273;9;1;No citado;;;;;;;;;;;;;;;;;;;;
405;317;9;1;Titular;90;;1;;;;;;;;;;;;;;;;;
406;318;9;1;Titular;90;;;;;;;;;;;;;;;;;;;
