IdPartido;IdCompeticionTemporada;Jornada;IdEquipoLocal;IdEquipoVisita;FechaPartido;NombreEvento;GolesLocal;GolesVisita;IsLocal;IsWon;;;;;;;;;;;;;;
84;4;SEMIFINAL;1;6;10/06/2023;Temp. 2023 - APERTURA - Jornada: SEMIFINAL - Cat. SUB-17 - Universidad de Chile vs Coquimbo Unido;1;0;1;1;;;;;;;;;;;;;;
85;4;FINAL;14;1;17/06/2023;Temp. 2023 - APERTURA - Jornada: FINAL - Cat. SUB-17 - Cobresal vs Universidad de Chile;3;3;0;1;;;;;;;;;;;;;;
86;5;1;5;1;6/08/2023;Temp. 2023 - CLAUSURA - Jornada: 1 - Cat. SUB-17 - Everton vs Universidad de Chile;0;4;0;1;;;;;;;;;;;;;;
87;5;2;1;8;12/08/2023;Temp. 2023 - CLAUSURA - Jornada: 2 - Cat. SUB-17 - Universidad de Chile vs Huachipato;2;3;1;0;;;;;;;;;;;;;;
88;5;3;10;1;18/08/2023;Temp. 2023 - CLAUSURA - Jornada: 3 - Cat. SUB-17 - Magallanes vs Universidad de Chile;1;0;0;0;;;;;;;;;;;;;;
89;5;4;1;27;26/08/2023;Temp. 2023 - CLAUSURA - Jornada: 4 - Cat. SUB-17 - Universidad de Chile vs O'Higgins;1;1;1;0;;;;;;;;;;;;;;
90;5;5;25;1;1/09/2023;Temp. 2023 - CLAUSURA - Jornada: 5 - Cat. SUB-17 - Palestino vs Universidad de Chile;1;2;0;1;;;;;;;;;;;;;;
91;5;6;1;13;6/09/2023;Temp. 2023 - CLAUSURA - Jornada: 6 - Cat. SUB-17 - Universidad de Chile vs Universidad Catolica;1;3;1;0;;;;;;;;;;;;;;
92;5;7;35;1;13/09/2023;Temp. 2023 - CLAUSURA - Jornada: 7 - Cat. SUB-17 - Universidad de Concepción vs Universidad de Chile;1;1;0;0;;;;;;;;;;;;;;
93;5;8;1;9;24/09/2023;Temp. 2023 - CLAUSURA - Jornada: 8 - Cat. SUB-17 - Universidad de Chile vs Unión Española;2;1;1;1;;;;;;;;;;;;;;
94;5;9;3;1;1/10/2023;Temp. 2023 - CLAUSURA - Jornada: 9 - Cat. SUB-17 - Colo-Colo vs Universidad de Chile;1;1;0;0;;;;;;;;;;;;;;
95;5;10;20;1;8/10/2023;Temp. 2023 - CLAUSURA - Jornada: 10 - Cat. SUB-17 - Deportes Temuco vs Universidad de Chile;0;0;0;0;;;;;;;;;;;;;;
96;5;11;1;4;15/10/2023;Temp. 2023 - CLAUSURA - Jornada: 11 - Cat. SUB-17 - Universidad de Chile vs Audax Italiano;1;0;1;1;;;;;;;;;;;;;;
97;5;12;1;2;29/10/2023;Temp. 2023 - CLAUSURA - Jornada: 12 - Cat. SUB-17 - Universidad de Chile vs Curicó Unido;2;1;1;1;;;;;;;;;;;;;;
98;5;13;14;1;5/11/2023;Temp. 2023 - CLAUSURA - Jornada: 13 - Cat. SUB-17 - Cobresal vs Universidad de Chile;3;1;0;0;;;;;;;;;;;;;;
99;5;14;1;6;12/11/2023;Temp. 2023 - CLAUSURA - Jornada: 14 - Cat. SUB-17 - Universidad de Chile vs Coquimbo Unido;3;0;1;1;;;;;;;;;;;;;;
100;5;15;1;18;19/11/2023;Temp. 2023 - CLAUSURA - Jornada: 15 - Cat. SUB-17 - Universidad de Chile vs Santiago Wanderers;0;0;1;0;;;;;;;;;;;;;;
101;6;1;5;1;25/02/2023;Temp. 2023 - APERTURA - Jornada: 1 - Cat. SUB-16 - Everton vs Universidad de Chile;1;2;0;1;;;;;;;;;;;;;;
102;6;2;1;8;1/03/2023;Temp. 2023 - APERTURA - Jornada: 2 - Cat. SUB-16 - Universidad de Chile vs Huachipato;1;2;1;0;;;;;;;;;;;;;;
103;6;3;10;1;4/03/2023;Temp. 2023 - APERTURA - Jornada: 3 - Cat. SUB-16 - Magallanes vs Universidad de Chile;3;3;0;0;;;;;;;;;;;;;;
